BookTitle,AuthorName,SellingPrice,ListingPrice,TypeofBook,PrintLength,PublicationDate,Rating,ReviewCount,Availability
The Art of Statistics: Learning from Data (Pelican Books),David Spiegelhalte,10.11,10.99,Paperback,448,2020-02-13,4.5,3615,In stock
"Data Scientist Coloring Book. A Funny, Unique, Snarky Adult Coloring Book For Stress Relief And Relaxation. Pop Art Cartoon: Novelty Gift Idea For ... Analyst For Graduation & Appreciation",Witty Jobs Juni,6.85,0.0,Paperback,72,2022-07-30,4.5,2,In stock
Storytelling with Data: A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,23.49,32.95,Paperback,288,2015-11-20,4.6,4651,In stock
"Data Analytics for Absolute Beginners: A Deconstructed Guide to Data Literacy: (Introduction to Data, Data Visualization, Business Intelligence & ... Science, Python & Statistics for Beginners)",Oliver Theobald,11.79,0.0,Paperback,159,2019-07-21,4.3,464,In stock
"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning",Alex J. Gutman,23.09,33.0,Paperback,272,2021-06-24,4.6,310,In stock
How to Win the Premier League: The Inside Story of Football’s Data Revolution,Ian Graham,16.99,22.0,Hardcover,320,2024-08-15,0.0,0,"This title will be released on August 15, 2024.  Pre-order now."
Microsoft Power BI Data Analyst Certification Guide: A comprehensive guide to becoming a confident and certified Power BI professional,Orrin Edenfield,33.99,0.0,Paperback,398,2022-06-24,4.0,44,In stock
AI & Data Literacy: Empowering Citizens of Data Science,Bill Schmarz,22.99,0.0,Paperback,202,2023-08-09,4.6,33,In stock
Data Grab: The new Colonialism of Big Tech and how to fight back,Ulises A. Mejias,15.16,22.0,Hardcover,320,2024-02-08,4.7,8,In stock
Engineers′ Data Book,Clifford Matthews,16.25,0.0,Paperback,344,2012-01-27,4.6,176,In stock
The Boat Data Book 8th Edition: The Owners' and Professionals' Bible,Ian Nicolson,28.92,32.99,Paperback,240,2024-07-04,0.0,0,In stock
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data ... Present Data Effectively (All Things Data)",Elizabeth Clarke,27.99,0.0,Paperback,528,2022-11-10,4.3,47,In stock
Data Visualisation: A Handbook for Data Driven Design,Andy Kirk,44.25,47.99,Paperback,328,2019-08-20,4.4,192,In stock
